summary;type;component;epic;assignee;storyPoints;versions;fixVersions;backendSubTasks;frontendSubTasks;requirementSubTasks;stdTestsSubTasks;automationSubTasks;labels
GDP-STD-1222 - CANNOT UNLOCK A WIDGET IN A LOCKED DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1223 - MODIFY LANGUAGE;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1224 - MODIFY THEME;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1225 - GDP UI PAGES SUPPORT RTL;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1226 - UI TOOLKIT IS RESPONSIVE AND ADAPTS TO EACH TYPE OF DEVICE SCREEN;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1227 - CUSTOM HEADER AND FOOTER ACTIONS/WIDGETS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1228 - TRIGGER ACTIONS FROM NOTIFICATIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1229 - CHECK IF THE CLOCK IS AVAILABLE ON THE GDP UI TOOLKIT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1230 - CHECK IF THE UI TOOLKIT IS ABLE TO PROVIDE A GENERIC GRID COMPONENT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1231 - CHECK IF THE GDP GEOGRAPHICAL VIEW COMPONENT IS AVAILABLE ON THE GDP UI TOOLKIT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1233 - SAVE A DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1234 - WIDGETS FLOAT AT THE TOP OF GRID LAYOUT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1236 - WIDGET SUPPORT FOR RTL;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1237 - MODIFY LANGUAGE IN WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1239 - TOOLTIPS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1240 - WIDGETS ADAPTS TO EACH TYPE OF DEVICE SCREEN;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1241 - ACTIVE WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1242 - OPEN MULTIPLE INSTNACES OF A WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1243 - USER CANNOT OPEN MULTIPLE INSTANCES OF A WIDGET;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1244 - SEAMLESS ZOOM  FUNCTION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1245 - USER OPENS A WIDGET PROGRAMATICALLY WITH USER DEFINED PROPERTIES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1246 - USER OPENS A WIDGET PROGRAMATICALLY WITH DEFAULT PROPERTIES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1250 - ACTIVE DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1252 - REVERT CHANGES MADE TO A DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1253 - A DASHBOARD MANAGER USER CAN CREATE A PUBLIC DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1254 - A DASHBOARD MANAGER USER CAN CREATE A SHARED DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1256 - UI TOOLKIT USER CAN CREATE AN UNFAVOURITE DAHSBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1257 - DIFFERENT DASHBOARDS MUST HAVE DIFERRENT NAMES;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1258 - CATEGORIES ARE DISPLAYED ACCORDING TO USER PERMISSIONS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1259 - MODIFY DASHBOARD ICON;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1260 - OWNER CAN MODIFY A PRIVATE DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
GDP-STD-1261 - OWNER CAN MODIFY A SHARED DASHBOARD;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;toolkit,test_execution
